food_id,factor_key,raw_value,numeric_value,value_qualifier
13-145,edible_proportion,N,,present_amount_unknown
13-145,glycerol_conversion_factor,0.800,0.8,measured_or_calculated
13-146,edible_proportion,1.00,1.0,measured_or_calculated
13-147,edible_proportion,1.00,1.0,measured_or_calculated
13-148,edible_proportion,1.00,1.0,measured_or_calculated
13-801,edible_proportion,1.00,1.0,measured_or_calculated
14-870,edible_proportion,1.00,1.0,measured_or_calculated
14-870,nitrogen_conversion_factor,5.18,5.18,measured_or_calculated
14-870,glycerol_conversion_factor,0.956,0.956,measured_or_calculated
14-897,edible_proportion,1,1.0,measured_or_calculated
14-897,nitrogen_conversion_factor,5.18,5.18,measured_or_calculated
14-897,glycerol_conversion_factor,0.956,0.956,measured_or_calculated
14-898,edible_proportion,0.37,0.37,measured_or_calculated
14-898,nitrogen_conversion_factor,5.18,5.18,measured_or_calculated
14-898,glycerol_conversion_factor,0.956,0.956,measured_or_calculated
14-896,edible_proportion,1,1.0,measured_or_calculated
14-896,nitrogen_conversion_factor,5.18,5.18,measured_or_calculated
14-896,glycerol_conversion_factor,0.956,0.956,measured_or_calculated
13-150,edible_proportion,1.00,1.0,measured_or_calculated
13-149,edible_proportion,0.89,0.89,measured_or_calculated
14-001,edible_proportion,0.89,0.89,measured_or_calculated
16-448,edible_proportion,0.74,0.74,measured_or_calculated
16-448,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
16-448,glycerol_conversion_factor,0.900,0.9,measured_or_calculated
13-802,edible_proportion,1.00,1.0,measured_or_calculated
14-272,edible_proportion,1.00,1.0,measured_or_calculated
14-331,edible_proportion,1.00,1.0,measured_or_calculated
14-331,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
17-851,edible_proportion,1.00,1.0,measured_or_calculated
14-344,edible_proportion,1.00,1.0,measured_or_calculated
14-344,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
14-344,glycerol_conversion_factor,0.800,0.8,measured_or_calculated
14-345,edible_proportion,0.84,0.84,measured_or_calculated
14-345,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
14-345,glycerol_conversion_factor,0.800,0.8,measured_or_calculated
14-342,edible_proportion,1.00,1.0,measured_or_calculated
14-342,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
14-342,glycerol_conversion_factor,0.800,0.8,measured_or_calculated
14-343,edible_proportion,0.84,0.84,measured_or_calculated
14-343,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
14-343,glycerol_conversion_factor,0.800,0.8,measured_or_calculated
14-362,edible_proportion,1.00,1.0,measured_or_calculated
14-362,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
14-363,edible_proportion,0.73,0.73,measured_or_calculated
14-363,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
14-332,edible_proportion,1.00,1.0,measured_or_calculated
14-332,nitrogen_conversion_factor,6.25,6.25,measured_or_calculated
