group_code,food_count,example_foods
A,3,"Pizza, cheese and tomato, retail; Porridge oats, unfortified; Porridge oats, unfortified, cooked, made up with semi-skimmed milk"
AA,29,"Arrowroot; Barley, pearl, boiled; Barley, pearl, raw; Bran, wheat; Buckwheat, groats"
AB,6,"Sandwich, white bread, bacon, lettuce and tomato; Sandwich, white bread, cheddar cheese and pickle; Sandwich, white bread, chicken salad; Sandwich, white bread, egg mayonnaise; Sandwich, white bread, ham salad"
AC,29,"Red rice, boiled in unsalted water; Rice, brown, basmati, boiled in unsalted water; Rice, brown, basmati, raw; Rice, brown, easy cook, boiled in unsalted water; Rice, brown, easy cook, raw"
AD,27,"Macaroni cheese, homemade; Noodles, egg, dried, raw; Noodles, egg, fine, dried, boiled in unsalted water; Noodles, egg, fried with spring onions, homemade; Noodles, egg, medium, dried, boiled in unsalted water"
AE,6,"Pizza base, raw; Pizza, chicken topped, retail; Pizza, fish topped, takeaway; Pizza, ham and pineapple, retail; Pizza, meat topped, retail and takeaway"
AF,38,"Bannocks, made with beremeal, homemade; Bannocks, made with wheat flour, homemade; Bread rolls, brown, crusty; Bread rolls, white, soft; Bread, brown, average"
AG,5,"Bread rolls, brown, soft; Bread rolls, malted wheat; Bread rolls, white, crusty; Bread rolls, wholemeal; Croissants"
AI,32,"Breakfast cereal, bran flakes, fortified; Breakfast cereal, bran type cereal, fortified; Breakfast cereal, cornflakes, crunchy / honey nut coated, fortified; Breakfast cereal, cornflakes, fortified; Breakfast cereal, cornflakes, frosted, fortified"
AK,1,Rusks
AM,42,"Biscuits, cheese flavoured; Biscuits, cookies, chocolate chip, American style; Biscuits, cookies, chocolate chip, standard; Biscuits, digestive, half coated in chocolate; Biscuits, digestive, plain"
AN,41,"Banana bread, homemade; Brownies, chocolate, homemade; Cake bars, chocolate; Cake, battenberg, retail; Cake, carrot, iced, retail"
AO,15,"Pastry, cheese, shortcrust, homemade; Pastry, choux, cooked, homemade; Pastry, choux, uncooked, homemade; Pastry, filo, retail, cooked; Pastry, filo, retail, uncooked"
AP,38,"Bagels, plain; Chelsea buns, homemade; Choux buns, homemade; Crumpets, toasted; Currant buns, toasted"
AS,48,"Bread pudding, homemade; Crumble, apple, homemade; Crumble, fruit, homemade; Crumble, fruit, retail; Crumble, fruit, wholemeal, homemade"
AT,18,"Cheese and onion rolls, pastry, retail; Couscous, plain, cooked; Couscous, plain, raw; Dumplings, homemade; Pakoras, homemade"
BA,1,"Milk, 1% fat, pasteurised"
BAB,3,"Milk, Channel Islands, whole, pasteurised; Milk, Channel islands, whole, summer; Milk, Channel islands, whole, winter"
BAE,4,"Milk, skimmed, pasteurised, average; Milk, skimmed, pasteurised, summer; Milk, skimmed, pasteurised, winter; Milk, skimmed, UHT"
BAH,4,"Milk, semi-skimmed, pasteurised, average; Milk, semi-skimmed, pasteurised, summer and autumn; Milk, semi-skimmed, pasteurised, winter and spring; Milk, semi-skimmed, UHT"
BAK,4,"Milk, whole, pasteurised, average; Milk, whole, pasteurised, summer and autumn; Milk, whole, pasteurised, winter and spring; Milk, whole, UHT"
BAR,8,"Coffeemate, whitener powder; Milk, condensed, whole, sweetened; Milk, evaporated, light; Milk, evaporated, whole; Milk, flavoured, pasteurised, chocolate"
BC,7,"Milk, goats, pasteurised; Milk, human, colostrum; Milk, human, mature; Milk, human, transitional; Milk, sheeps, raw"
BH,13,"Cocoa powder; Cocoa powder, made up with semi-skimmed milk; Cocoa powder, made up with skimmed milk; Cocoa powder, made up with whole milk; Complan powder, savoury, made up with water"
BJC,8,"Cream, dairy, extra thick (24% fat); Cream, fresh, clotted; Cream, fresh, double, including Jersey cream; Cream, fresh, single; Cream, fresh, whipping"
BJP,2,"Cream, dairy, UHT, canned spray, 85% cream; Cream, dairy, UHT, half fat, canned spray"
BJS,2,"Cream substitute, double; Cream substitute, single"
BL,46,"Cheese spread, plain; Cheese spread, plain, reduced fat; Cheese, Brie, rind only; Cheese, Brie, with outer rind removed; Cheese, Caerphilly"
BN,15,"Fromage frais, virtually fat free, fruit; Fromage frais, virtually fat free, natural; Lassi, sweetened; Tzatziki; Yogurt, Greek style, fruit"
BNE,1,"Yogurt, whole milk, plain"
BNH,2,"Yogurt, low fat, hazelnut; Yogurt, low fat, toffee"
BNS,1,"Fromage frais, fruit, children's, fortified"
BP,18,"Banana split, homemade; Chocolate nut sundae; Cornetto type ice cream cone; Ice cream bars/choc ices, chocolate coated, luxury; Ice cream bars/choc ices, non-dairy, with chocolate flavoured coating"
BR,38,"Blancmange, homemade; Cheesecake, fruit, frozen; Cheesecake, fruit, individual; Cheesecake, homemade; Crème caramel, homemade"
BTM,3,"Baking fat and margarine (75-90% fat), hard block; Cooking fat, compound, not polyunsaturated; Ghee made from vegetable oil"
BV,6,"Cheese pudding, homemade; Pie, cheese and potato, homemade; Raita, yogurt and gram flour, homemade; Sauce, cheese, packet mix, dry; Welsh rarebit, homemade"
CA,16,"Eggs, chicken, white, boiled; Eggs, chicken, white, dried; Eggs, chicken, white, raw; Eggs, chicken, whole, boiled; Eggs, chicken, whole, dried"
CD,14,"Eggs, chicken, scrambled, with semi-skimmed milk; Omelette, cheese, homemade; Omelette, plain, homemade; Omelette, Spanish, homemade; Quiche, cheese and egg, homemade"
CDE,2,"Egg fu yung; Omelette, curried, homemade"
CDH,1,"Macaroon, homemade"
D,1,"Onions, fried in butter"
DA,2,"Potato products, shaped, frozen, baked; Potatoes, old, roasted in rapeseed oil"
DAE,4,"Potatoes, new and salad, boiled in salted water, flesh and skin; Potatoes, new and salad, boiled in unsalted water, flesh and skin; Potatoes, new and salad, flesh only, raw; Potatoes, new, frozen, `roast' in corn oil"
DAM,14,"Potatoes, old, baked, flesh and skin; Potatoes, old, baked, flesh only; Potatoes, old, baked, flesh only, weighed with skin; Potatoes, old, boiled in salted water, flesh only; Potatoes, old, boiled in unsalted water, flesh only"
DAP,17,"Potato chips, crinkle cut, frozen, fried in corn oil; Potato chips, fine cut, from fast food outlets; Potato chips, fine cut, frozen, fried in blended vegetable oil; Potato chips, fine cut, frozen, fried in corn oil; Potato chips, fine cut, frozen, fried in dripping"
DAR,10,"Potato chips, fried in beef dripping, from takeaway fish and chip shops; Potato chips, fried in palm oil, from takeaway fish and chip shops; Potato chips, fried in rapeseed oil, from takeaway fish and chip shops; Potato croquettes, fried in blended oil; Potato powder, instant, made up with semi-skimmed milk"
DB,66,"Baked beans, canned in barbecue sauce; Baked beans, canned in tomato sauce; Baked beans, canned in tomato sauce, reduced sugar, reduced salt; Baked beans, canned in tomato sauce, with pork sausages; Beans, aduki, whole, dried, boiled in unsalted water"
DF,16,"Peas, boiled in unsalted water; Peas, canned in water, re-heated, drained; Peas, dried, boiled in unsalted water; Peas, dried, raw; Peas, frozen, boiled in unsalted water"
DG,229,"Ackee, canned, drained; Agar, dried; Agar, dried, soaked and drained; Alfalfa sprouts, raw; Amaranth leaves, boiled in unsalted water"
DI,5,"Courgette, dried; Green beans, dried; Mushroom, dried; Spinach, dried; Sweetcorn, dried"
DR,309,"Aubergine, stuffed with lentils and vegetables; Aubergine, stuffed with rice; Aubergine, stuffed with vegetables, cheese topping; Bean loaf, mixed beans, homemade; Beanburger, aduki, fried in rapeseed oil, homemade"
F,7,"Apples, cooking, raw, flesh only, peeled; Apples, cooking, raw, flesh only, weighed with skin and core; Blackberry and apple, stewed without sugar; Pears, average, raw, flesh only; Pears, average, stewed with sugar"
FA,211,"Amla; Apples, cooking, baked with sugar, flesh only; Apples, cooking, baked with sugar, flesh only, weighed with skin; Apples, cooking, baked without sugar, flesh only; Apples, cooking, baked without sugar, flesh only, weighed with skin"
FC,10,"Apple juice, clear, ambient and chilled; Lemon juice, fresh, weighed as whole fruit; Lime juice, fresh; Orange juice, ambient, UHT; Orange juice, chilled"
G,3,"Breadnut seeds, dried; Macadamia nuts, salted; Poppy seeds"
GA,47,"Almonds, flaked and ground; Almonds, toasted; Almonds, weighed with shells; Almonds, whole kernels; Barcelona nuts, Kernel only"
H,61,"Allspice, ground; Anise seeds; Asafoetida; Basil, dried, ground; Basil, fresh"
J,8,"Cod, in batter, fried in sunflower oil, takeaway; Curry, fish and vegetable, Bangladeshi, homemade; Curry, prawn and mushroom, homemade; Salmon, farmed, flesh only, baked; Salmon, farmed, flesh only, grilled"
JA,151,"Ayr, raw; Bass, sea, flesh only, baked; Bass, sea, flesh only, baked, weighed with bones and skin; Bass, sea, flesh only, raw; Bass, sea, flesh only, raw, weighed with bones and skin"
JC,53,"Anchovies, canned in oil, drained; Bacha, raw; Bloater, flesh only, grilled; Bloater, flesh only, grilled, weighed with bones and skin; Eel, yellow, raw"
JK,22,"Crab, brown meat, purchased cooked; Crab, canned in brine, drained; Crab, purchased cooked; Crab, white and brown meat, purchased cooked, weighed with shell; Crab, white meat, purchased cooked"
JM,16,"Calamari, coated in batter, baked; Cockles, boiled; Cuttlefish, raw; Mussels in white wine sauce, cooked; Mussels, purchased cooked"
JR,35,"Caviare, bottled in brine, drained; Curry, fish, Bangladeshi, homemade; Curry, fish, homemade; Curry, haddock, Bengali, homemade; Curry, herring, Bengali, homemade"
MAA,25,"Bacon loin steaks, lean, grilled; Bacon rashers, back, dry-cured, grilled; Bacon rashers, back, dry-fried; Bacon rashers, back, fat trimmed, grilled; Bacon rashers, back, fat trimmed, raw"
MAC,91,"Beef, braising steak, braised, lean and fat; Beef, braising steak, braised, lean only; Beef, braising steak, raw, lean; Beef, braising steak, raw, lean and fat; Beef, braising steak, slow cooked, lean"
MAE,105,"Lamb, average, raw, lean and fat; Lamb, best end neck cutlets, barbecued, lean; Lamb, best end neck cutlets, barbecued, lean and fat; Lamb, best end neck cutlets, barbecued, lean and fat, weighed with bone; Lamb, best end neck cutlets, barbecued, lean, weighed with fat and bone"
MAG,66,"Pork, belly joint, roasted, lean and fat; Pork, belly joint/slices, grilled, lean and fat; Pork, belly joint/slices, raw, lean and fat; Pork, belly joint/slices, raw, lean and fat, weighed with bone; Pork, crackling, cooked"
MAI,4,"Veal, escalope, fried in corn oil; Veal, escalope, raw; Veal, mince, raw; Veal, mince, stewed"
MBG,11,"Burger, beef, 62-85% beef, raw; Burger, beef, 62-85%, beef, grilled; Burger, beef, 98-99% beef, fried in vegetable oil; Burger, beef, 98-99% beef, grilled; Burger, beef, 98-99% beef, raw"
MCA,64,"Burger, chicken/turkey, coated, retail, grilled; Chicken breast/steak, coated, baked; Chicken pieces, coated, takeaway; Chicken portions, battered, deep fried, takeaway; Chicken, breast, casseroled, meat and skin"
MCC,7,"Duck, crispy, chinese style, meat and skin; Duck, meat only, raw; Duck, raw, meat only, weighed with fat, skin and bone; Duck, raw, meat, fat and skin; Duck, roasted, meat only"
MCE,2,"Goose, meat, raw, fat and skin; Goose, meat, roasted, fat and skin"
MCG,2,"Grouse, meat only, roasted; Grouse, meat only, roasted, weighed with bone"
MCI,2,"Partridge, meat only, roasted; Partridge, meat only, roasted, weighed with bone"
MCK,2,"Pheasant, meat only, roasted; Pheasant, meat only, roasted, weighed with bone"
MCM,2,"Pigeon, meat only, roasted; Pigeon, meat only, roasted, weighed with bone"
MCO,21,"Turkey, breast, fillet, grilled, meat only; Turkey, dark meat, raw; Turkey, dark meat, roasted; Turkey, drumsticks, roasted, meat and skin; Turkey, drumsticks, roasted, meat and skin, weighed with bone"
MEA,2,"Hare, meat only, stewed; Hare, meat only, stewed, weighed with bone"
MEC,3,"Rabbit, raw, meat only; Rabbit, stewed, meat only; Rabbit, stewed, meat only, weighed with bone"
MEE,2,"Venison, meat only, raw; Venison, roast"
MG,40,"Brain, lamb, boiled; Giblets, chicken, boiled; Giblets, chicken, raw; Giblets, turkey, boiled; Heart, lamb, raw"
MI,42,"Black pudding, dry-fried; Black pudding, raw; Brawn; Chicken slices; Chicken/turkey pasties/slices, puff pastry"
MIG,1,"Curry, chicken tikka masala, retail, reheated"
MR,151,"Beef bourguignon, homemade; Beef bourguignonne, made with lean beef, homemade; Beef olives, homemade; Beef steak pudding, homemade; Beef Stroganoff, homemade"
OA,12,"Butter, salted; Butter, spreadable (75-80% fat); Butter, spreadable, light (60% fat); Butter, unsalted; Fat spread, low fat (26-39%), not polyunsaturated, including dairy type"
OB,1,"Butteroil, unsalted"
OC,18,"Oil, coconut; Oil, cod liver; Oil, corn; Oil, cottonseed; Oil, evening primrose"
OE,1,Cocoa butter
OF,5,"Dripping, beef; Ghee, butter; Lard; Suet, shredded; Suet, vegetable, reduced fat"
P,1,"Coffee, cappuccino, latte"
PA,1,"Coffee and chicory essence, with water"
PAA,22,"Build up, powder, shake, assorted flavours; Build-up powder, soup, assorted flavours; Coffee, powder, instant; Complan powder, original and sweet; Complan powder, savoury"
PAC,17,"Coffee, infusion, average; Coffee, infusion, average, with semi-skimmed milk; Coffee, infusion, average, with single cream; Coffee, infusion, average, with whole milk; Coffee, infusion, strong"
PCA,8,"Cola; Cola, diet; Energy drink, carbonated; Fruit juice drink, carbonated, no added sugar, ready to drink; Fruit juice drink, carbonated, ready to drink"
PCC,16,"Barley water, diluted; Barley water, undiluted; Blackcurrant juice drink/squash, diluted; Blackcurrant juice drink/squash, undiluted; Fruit juice drink, no added sugar, ready to drink"
PE,9,"Apple juice concentrate, unsweetened, commerical; Cranberry fruit juice drink; Fruit juice, mixed; Grape juice, unsweetened; Grapefruit juice, unsweetened"
Q,1,Pre-mixed spirit based drinks
QA,11,"Beer, bitter, average (<4% ABV); Beer, bitter, best, premium; Beer, bitter, strong (>5% ABV); Lager, alcohol-free; Lager, extra strong"
QC,4,"Cider, dry; Cider, low alcohol; Cider, strong; Cider, sweet"
QE,7,"Wine, mulled wine, homemade; Wine, red; Wine, rose, medium; Wine, white, dry; Wine, white, medium"
QF,2,"Port; Sherry, medium"
QG,1,"Vermouth, dry"
QI,4,"Egg nog, homemade; Liqueurs, cream; Liqueurs, high strength; Liqueurs, low-medium strength"
QK,1,"Spirits, 40% volume"
S,4,"Icing, butter, homemade; Icing, fondant, homemade; Lemon curd, homemade; Mincemeat, vegetarian, homemade"
SC,22,"Chocolate nut spread; Chocolate spread; Glucose liquid, BP; Honey; Honey and comb"
SEA,17,"Bounty bar and own brand equivalents; Caramel bars and sweets, chocolate covered; Chocolate covered bar with caramel and cereal; Chocolate covered caramel and biscuit fingers; Chocolate, dark, with crème or mint fondant centres"
SEC,18,"Coconut ice, homemade; Fruit gums/jellies; Fruit pastilles; Fudge, homemade; Halva, carrot, homemade"
SN,11,"Bombay mix; Corn snacks; Popcorn, candied; Popcorn, salted, retail; Pork scratchings"
SNA,2,"Potato crisps, fried in sunflower oil; Potato snacks, pringle-type, fried in vegetable oil"
SNC,2,"Chevda/chevra/chewra, homemade; Sev/ganthia, homemade"
WA,5,"Soup, broccoli and stilton, carton, chilled; Soup, carrot and coriander, carton, chilled; Soup, minestrone, canned; Soup, mushroom, carton, chilled; Soup, tomato, carton, chilled"
WAA,12,"Bouillabaisse, homemade; Scotch broth, homemade; Soup, carrot and orange, homemade; Soup, French onion, homemade; Soup, gazpacho, homemade"
WAC,9,"Chicken soup, cream of, canned, condensed, as served; Soup, chicken, cream of, canned; Soup, chicken, cream of, canned, condensed; Soup, cream of tomato, canned; Soup, lentil, canned"
WAE,4,"Soup, chicken noodle, dried; Soup, chicken noodle, dried, as served; Soup, instant, dried, as purchased; Soup, instant, dried, as served"
WC,30,"Apple sauce, homemade; Barbecue sauce, homemade; Chilli sauce; Curry paste; Dressing, French, homemade"
