food_id,food_code,duplicate_code_sequence,source_row_index,food_name,search_name,description,group_code,previous_code,main_data_references,footnote
13-145,13-145,1,1,"Ackee, canned, drained","ackee, canned, drained 8 cans",8 cans,DG,554,"MW4, 1978; and Vegetables, Herbs and Spices Supplement, 1991",
13-146,13-146,1,2,"Agar, dried","agar, dried literature sources",Literature sources,DG,,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculature Organization and US Department of Health",
13-147,13-147,1,3,"Agar, dried, soaked and drained","agar, dried, soaked and drained literature sources",Literature sources,DG,,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculature Organization and US Department of Health",
13-148,13-148,1,4,"Alfalfa sprouts, raw","alfalfa sprouts, raw analytical and literature sources",Analytical and literature sources,DG,,"Vegetables, Herbs and Spices Supplement, 1991",
13-801,13-801,1,5,"Allspice, ground","allspice, ground literature sources",Literature sources,H,,"Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No. 8-2",
14-870,14-870,1,6,"Almonds, flaked and ground","almonds, flaked and ground 10 samples",10 samples,GA,14-801 14-855 50-972,"Reviewed 2013. LGC, Snacks and nuts, 1989-1991; and Fatty Acid Supplement, 1998 (14-855). Selenium from Analysis of foods for Selenium 1994",
14-897,14-897,1,7,"Almonds, toasted","almonds, toasted literature sources",Literature sources,GA,14-803,"USDA SR28, 2015",
14-898,14-898,1,8,"Almonds, weighed with shells","almonds, weighed with shells calculated from 14-896",Calculated from 14-896,GA,14-883,"USDA SR28, 2015",
14-896,14-896,1,9,"Almonds, whole kernels","almonds, whole kernels literature sources, prunus dulcis","Literature sources, Prunus dulcis",GA,,"USDA SR28, 2015",
13-150,13-150,1,10,"Amaranth leaves, boiled in unsalted water","amaranth leaves, boiled in unsalted water calculation from raw",Calculation from raw,DG,,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculature Organization and US Department of Health",
13-149,13-149,1,11,"Amaranth leaves, raw","amaranth leaves, raw literature sources",Literature sources,DG,,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculature Organization and US Department of Health",
14-001,14-001,1,12,Amla,amla literature sources,Literature sources,FA,,"Gopalan et al. (1980) Nutritive value of Indian foods, National Insitute of Nutrition, Indian Council of Medical Research",
16-448,16-448,1,13,"Anchovies, canned in oil, drained","anchovies, canned in oil, drained 10 samples, 4 brands","10 samples, 4 brands",JC,16-323,"Data from Fish and Fish Products Supplement, 1993 (16-168) except fatty acids and phytosterols from RHM, fatty acids in foods, 1993",
13-802,13-802,1,14,Anise seeds,anise seeds literature sources,Literature sources,H,,"Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No. 8-2",
14-272,14-272,1,15,"Apple juice concentrate, unsweetened, commerical","apple juice concentrate, unsweetened, commerical 10 samples, 68.6 brix; imported commercial concentrate","10 samples, 68.6 Brix; imported commercial concentrate",PE,,"Fruit and Nuts Supplement, 1992",
14-331,14-331,1,16,"Apple juice, clear, ambient and chilled","apple juice, clear, ambient and chilled 10 samples, 9 brands, from concentrate","10 samples, 9 brands, from concentrate",FC,14-271,"DH, Nutrient analysis of fruit and vegetables, 2013",
17-851,17-851,1,17,"Apple sauce, homemade","apple sauce, homemade recipe",Recipe,WC,17-608,Updated 2014,
14-344,14-344,1,18,"Apples, cooking, baked with sugar, flesh only","apples, cooking, baked with sugar, flesh only calculated from 672g apple (14-342) and 40g sugar (17-061)",Calculated from 672g apple (14-342) and 40g sugar (17-061),FA,14-007,Updated 2014,
14-345,14-345,1,19,"Apples, cooking, baked with sugar, flesh only, weighed with skin","apples, cooking, baked with sugar, flesh only, weighed with skin calculated from 14-344 using edible portion of 0.84",Calculated from 14-344 using edible portion of 0.84,FA,14-008,Updated 2014,
14-342,14-342,1,20,"Apples, cooking, baked without sugar, flesh only","apples, cooking, baked without sugar, flesh only calculated from 14-320",Calculated from 14-320,FA,14-010,"DH, Nutrient analysis of fruit and vegetables, 2013",
14-343,14-343,1,21,"Apples, cooking, baked without sugar, flesh only, weighed with skin","apples, cooking, baked without sugar, flesh only, weighed with skin calculated from 14-342 using edible portion of 0.84",Calculated from 14-342 using edible portion of 0.84,FA,14-011,"DH, Nutrient analysis of fruit and vegetables, 2013",
14-362,14-362,1,22,"Apples, cooking, raw, flesh only, peeled","apples, cooking, raw, flesh only, peeled bramley apples and unspecified. analytical data, 1985-86; and 2011-12","Bramley apples and unspecified. Analytical data, 1985-86; and 2011-12",F,14-002,"LGC, Nutritional composition of fresh fruit, 1985-1986; and Fruit and Nuts Supplement, 1992",
