food_id,food_code,duplicate_code_sequence,source_row_index,food_name,description,group_code,previous_code,main_data_references,footnote,water_g_per_100g,energy_kcal_per_100g,energy_kj_per_100g,protein_g_per_100g,fat_g_per_100g,carbs_g_per_100g,starch_g_per_100g,sugars_g_per_100g,glucose_g_per_100g,fructose_g_per_100g,sucrose_g_per_100g,lactose_g_per_100g,alcohol_g_per_100g,fibre_nsp_g_per_100g,fibre_aoac_g_per_100g,fibre_g_per_100g,saturated_fat_g_per_100g,monounsaturated_fat_g_per_100g,polyunsaturated_fat_g_per_100g,trans_fat_g_per_100g,cholesterol_mg_per_100g,sodium_mg_per_100g,salt_g_per_100g,potassium_mg_per_100g,calcium_mg_per_100g,magnesium_mg_per_100g,phosphorus_mg_per_100g,iron_mg_per_100g,copper_mg_per_100g,zinc_mg_per_100g,selenium_ug_per_100g,iodine_ug_per_100g,vitamin_a_retinol_ug_per_100g,vitamin_d_ug_per_100g,vitamin_e_mg_per_100g,vitamin_k1_ug_per_100g,thiamin_mg_per_100g,riboflavin_mg_per_100g,niacin_mg_per_100g,vitamin_b6_mg_per_100g,vitamin_b12_ug_per_100g,folate_ug_per_100g,vitamin_c_mg_per_100g
13-145,13-145,1,1,"Ackee, canned, drained",8 cans,DG,554,"MW4, 1978; and Vegetables, Herbs and Spices Supplement, 1991",,76.7,151.0,625.0,2.9,15.2,0.8,0.0,0.8,0.1,0.0,0.7,0.0,,,,,,,,0.0,0.0,240.0,0.6,270.0,35.0,40.0,47.0,0.7,0.27,0.6,,0.0,0.0,0.0,,,0.03,0.07,0.6,0.06,0.0,41.0,30.0
13-146,13-146,1,2,"Agar, dried",Literature sources,DG,,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculature Organization and US Department of Health",,9.7,16.0,67.0,1.3,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,81.1,,81.1,0.3,0.1,0.4,,0.0,110.0,0.275,110.0,760.0,620.0,50.0,20.6,,14.4,,,0.0,0.0,0.0,,0.01,0.22,0.2,0.0,0.0,0.0,0.0
13-147,13-147,1,3,"Agar, dried, soaked and drained",Literature sources,DG,,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculature Organization and US Department of Health",,84.2,2.0,7.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,15.0,,15.0,0.0,0.0,0.0,,0.0,10.0,0.025,20.0,110.0,75.0,8.0,3.5,,2.5,,,0.0,0.0,0.0,,0.01,0.04,0.1,0.0,0.0,0.0,0.0
13-148,13-148,1,4,"Alfalfa sprouts, raw",Analytical and literature sources,DG,,"Vegetables, Herbs and Spices Supplement, 1991",,93.4,24.0,100.0,4.0,0.7,0.4,0.0,0.3,0.1,0.2,0.0,0.0,,1.7,,1.7,,,,,0.0,6.0,0.015,79.0,32.0,27.0,70.0,1.0,0.16,0.9,,,0.0,0.0,,,0.04,0.06,0.5,0.03,0.0,36.0,2.0
13-801,13-801,1,5,"Allspice, ground",Literature sources,H,,"Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No. 8-2",,8.5,,,6.1,8.7,,,,,,,0.0,,,,,2.5,0.7,2.4,,0.0,77.0,0.1925,1040.0,660.0,130.0,110.0,7.1,0.55,1.0,,,0.0,0.0,,,0.1,0.06,2.9,,0.0,0.0,0.0
14-870,14-870,1,6,"Almonds, flaked and ground",10 samples,GA,14-801 14-855 50-972,"Reviewed 2013. LGC, Snacks and nuts, 1989-1991; and Fatty Acid Supplement, 1998 (14-855). Selenium from Analysis of foods for Selenium 1994",,4.2,612.0,2534.0,21.1,55.8,6.9,2.7,4.2,0.0,0.0,4.2,0.0,0.0,7.4,,7.4,4.43,38.19,10.46,0.0,0.0,14.0,0.035,780.0,240.0,270.0,550.0,3.0,1.0,3.2,2.0,2.0,0.0,0.0,23.96,,0.21,0.75,3.1,0.15,0.0,48.0,0.0
14-897,14-897,1,7,"Almonds, toasted",Literature sources,GA,14-803,"USDA SR28, 2015",,2.4,579.0,2394.0,21.0,52.5,5.9,0.8,5.1,0.0,0.0,5.0,0.0,0.0,,10.9,10.9,4.09,33.08,12.96,0.01,0.0,3.0,0.0075,713.0,268.0,279.0,471.0,3.73,1.1,3.3,2.0,2.0,0.0,0.0,23.9,0.0,0.08,1.2,3.6,0.14,0.0,55.0,0.0
14-898,14-898,1,8,"Almonds, weighed with shells",Calculated from 14-896,GA,14-883,"USDA SR28, 2015",,1.6,205.0,847.0,7.8,18.5,1.9,0.3,1.6,0.1,0.0,1.5,0.0,0.0,,4.6,4.6,1.41,11.67,4.56,0.01,0.0,0.0,0.0,271.0,100.0,100.0,178.0,1.37,0.38,1.2,2.0,1.0,0.0,0.0,9.48,0.0,0.08,0.42,1.3,0.05,0.0,16.0,0.0
14-896,14-896,1,9,"Almonds, whole kernels","Literature sources, Prunus dulcis",GA,,"USDA SR28, 2015",,4.4,554.0,2292.0,21.2,49.9,5.3,0.8,4.5,0.2,0.1,4.1,0.0,0.0,,12.5,12.5,3.8,31.55,12.33,0.02,0.0,1.0,0.0025,733.0,269.0,270.0,481.0,3.71,1.031,3.1,4.0,2.0,0.0,0.0,25.63,0.0,0.21,1.14,3.6,0.14,0.0,44.0,0.0
13-150,13-150,1,10,"Amaranth leaves, boiled in unsalted water",Calculation from raw,DG,,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculature Organization and US Department of Health",,90.4,16.0,67.0,3.0,0.3,0.3,0.1,0.2,0.0,0.2,0.0,0.0,,,,,0.1,0.1,0.1,,0.0,11.0,0.0275,540.0,220.0,110.0,54.0,2.4,0.11,0.5,,,0.0,0.0,,,0.03,0.16,0.7,,0.0,51.0,31.0
