nutrient_id,nutrient_key,nutrient_code,nutrient_name,display_header,unit,value_basis,source_sheet,source_sheet_no,column_index,wide_column
1,1_3_proximates__water,WATER,Water,Water (g),g,per_100g_food,1.3 Proximates,1.3,8,1_3_proximates__water__water
2,1_3_proximates__totnit,TOTNIT,Total nitrogen,Total nitrogen (g),g,per_100g_food,1.3 Proximates,1.3,9,1_3_proximates__totnit__total_nitrogen
3,1_3_proximates__prot,PROT,Protein,Protein (g),g,per_100g_food,1.3 Proximates,1.3,10,1_3_proximates__prot__protein
4,1_3_proximates__fat,FAT,Fat,Fat (g),g,per_100g_food,1.3 Proximates,1.3,11,1_3_proximates__fat__fat
5,1_3_proximates__cho,CHO,Carbohydrate,Carbohydrate (g),g,per_100g_food,1.3 Proximates,1.3,12,1_3_proximates__cho__carbohydrate
6,1_3_proximates__kcals,KCALS,kcal,Energy (kcal) (kcal),kcal,per_100g_food,1.3 Proximates,1.3,13,1_3_proximates__kcals__kcal
7,1_3_proximates__kj,KJ,kJ,Energy (kJ) (kJ),kJ,per_100g_food,1.3 Proximates,1.3,14,1_3_proximates__kj__kj
8,1_3_proximates__star,STAR,Starch,Starch (g),g,per_100g_food,1.3 Proximates,1.3,15,1_3_proximates__star__starch
9,1_3_proximates__oligo,OLIGO,Oligosaccharide,Oligosaccharide (g),g,per_100g_food,1.3 Proximates,1.3,16,1_3_proximates__oligo__oligosaccharide
10,1_3_proximates__totsug,TOTSUG,Total sugars,Total sugars (g),g,per_100g_food,1.3 Proximates,1.3,17,1_3_proximates__totsug__total_sugars
11,1_3_proximates__gluc,GLUC,Glucose,Glucose (g),g,per_100g_food,1.3 Proximates,1.3,18,1_3_proximates__gluc__glucose
12,1_3_proximates__galact,GALACT,Galactose,Galactose (g),g,per_100g_food,1.3 Proximates,1.3,19,1_3_proximates__galact__galactose
13,1_3_proximates__fruct,FRUCT,Fructose,Fructose (g),g,per_100g_food,1.3 Proximates,1.3,20,1_3_proximates__fruct__fructose
14,1_3_proximates__sucr,SUCR,Sucrose,Sucrose (g),g,per_100g_food,1.3 Proximates,1.3,21,1_3_proximates__sucr__sucrose
15,1_3_proximates__malt,MALT,Maltose,Maltose (g),g,per_100g_food,1.3 Proximates,1.3,22,1_3_proximates__malt__maltose
16,1_3_proximates__lact,LACT,Lactose,Lactose (g),g,per_100g_food,1.3 Proximates,1.3,23,1_3_proximates__lact__lactose
17,1_3_proximates__alco,ALCO,Alcohol,Alcohol (g),g,per_100g_food,1.3 Proximates,1.3,24,1_3_proximates__alco__alcohol
18,1_3_proximates__engfib,ENGFIB,Non-starch polysaccharide,NSP (g),g,per_100g_food,1.3 Proximates,1.3,25,1_3_proximates__engfib__non_starch_polysaccharide
19,1_3_proximates__aoacfib,AOACFIB,AOAC fibre,AOAC fibre (g),g,per_100g_food,1.3 Proximates,1.3,26,1_3_proximates__aoacfib__aoac_fibre
20,1_3_proximates__satfac,SATFAC,Saturated fatty acids per 100g fatty acids,Satd FA /100g FA (g),g,per_100g_fatty_acids,1.3 Proximates,1.3,27,1_3_proximates__satfac__saturated_fatty_acids_per_100g_fatty_acids
21,1_3_proximates__satfod,SATFOD,Saturated fatty acids per 100g food,Satd FA /100g fd (g),g,per_100g_food,1.3 Proximates,1.3,28,1_3_proximates__satfod__saturated_fatty_acids_per_100g_food
22,1_3_proximates__totn6pfac,TOTn6PFAC,Total n-6 polyunsaturated fatty acids per 100g fatty acid,n-6 poly /100g FA (g),g,per_100g_fatty_acids,1.3 Proximates,1.3,29,1_3_proximates__totn6pfac__total_n_6_polyunsaturated_fatty_acids_per_100g_f
23,1_3_proximates__totn6pfod,TOTn6PFOD,Total n-6 polyunsaturated fatty acids per 100g food,n-6 poly /100g food (g),g,per_100g_food,1.3 Proximates,1.3,30,1_3_proximates__totn6pfod__total_n_6_polyunsaturated_fatty_acids_per_100g_f
24,1_3_proximates__totn3pfac,TOTn3PFAC,Total n-3 polyunsaturated fatty acids per 100g fatty acid,n-3 poly /100g FA (g),g,per_100g_fatty_acids,1.3 Proximates,1.3,31,1_3_proximates__totn3pfac__total_n_3_polyunsaturated_fatty_acids_per_100g_f
25,1_3_proximates__totn3pfod,TOTn3PFOD,Total n-3 polyunsaturated fatty acids per 100g food,n-3 poly /100g food (g),g,per_100g_food,1.3 Proximates,1.3,32,1_3_proximates__totn3pfod__total_n_3_polyunsaturated_fatty_acids_per_100g_f
26,1_3_proximates__monofacc,MONOFACc,cis-Monounsaturated fatty acids /100g FA,cis-Mono FA /100g FA (g),g,per_100g_fatty_acids,1.3 Proximates,1.3,33,1_3_proximates__monofacc__cis_monounsaturated_fatty_acids_100g_fa
27,1_3_proximates__monofodc,MONOFODc,cis-Monounsaturated fatty acids /100g Food,cis-Mono FA /100g Food (g),g,per_100g_food,1.3 Proximates,1.3,34,1_3_proximates__monofodc__cis_monounsaturated_fatty_acids_100g_food
28,1_3_proximates__monofac,MONOFAC,Monounsaturated fatty acids per 100g fatty acids,Mono FA/ 100g FA (g),g,per_100g_fatty_acids,1.3 Proximates,1.3,35,1_3_proximates__monofac__monounsaturated_fatty_acids_per_100g_fatty_acids
29,1_3_proximates__monofod,MONOFOD,Monounsaturated fatty acids per 100g food,Mono FA /100g food (g),g,per_100g_food,1.3 Proximates,1.3,36,1_3_proximates__monofod__monounsaturated_fatty_acids_per_100g_food
30,1_3_proximates__polyfacc,POLYFACc,cis-Polyunsaturated fatty acids /100g FA,cis-Polyu FA /100g FA (g),g,per_100g_fatty_acids,1.3 Proximates,1.3,37,1_3_proximates__polyfacc__cis_polyunsaturated_fatty_acids_100g_fa
31,1_3_proximates__polyfodc,POLYFODc,cis-Polyunsaturated fatty acids /100g Food,cis-Poly FA /100g Food (g),g,per_100g_food,1.3 Proximates,1.3,38,1_3_proximates__polyfodc__cis_polyunsaturated_fatty_acids_100g_food
32,1_3_proximates__polyfac,POLYFAC,Polyunsaturated fatty acids per 100g fatty acids,Poly FA /100g FA (g),g,per_100g_fatty_acids,1.3 Proximates,1.3,39,1_3_proximates__polyfac__polyunsaturated_fatty_acids_per_100g_fatty_acids
33,1_3_proximates__polyfod,POLYFOD,Polyunsaturated fatty acids per 100g food,Poly FA /100g food (g),g,per_100g_food,1.3 Proximates,1.3,40,1_3_proximates__polyfod__polyunsaturated_fatty_acids_per_100g_food
34,1_3_proximates__satfacx6,SATFACx6,Saturated fatty acids excluding branch per 100 g fatty acid,Sat FA excl Br /100g FA (g),g,per_100g_fatty_acids,1.3 Proximates,1.3,41,1_3_proximates__satfacx6__saturated_fatty_acids_excluding_branch_per_100_g
35,1_3_proximates__satfodx6,SATFODx6,Saturated fatty acids excluding branch per 100 g food,Sat FA excl Br /100g food (g),g,per_100g_food,1.3 Proximates,1.3,42,1_3_proximates__satfodx6__saturated_fatty_acids_excluding_branch_per_100_g
36,1_3_proximates__totbrfac,TOTBRFAC,Total branched chain per 100g fatty acid,Branched chain FA /100g FA (g),g,per_100g_fatty_acids,1.3 Proximates,1.3,43,1_3_proximates__totbrfac__total_branched_chain_per_100g_fatty_acid
37,1_3_proximates__totbrfod,TOTBRFOD,Total branched chain per 100g food,Branched chain FA /100g food (g),g,per_100g_food,1.3 Proximates,1.3,44,1_3_proximates__totbrfod__total_branched_chain_per_100g_food
38,1_3_proximates__factrans,FACTRANS,Total Trans fatty acids per 100g fatty acids,Trans FAs /100g FA (g),g,per_100g_fatty_acids,1.3 Proximates,1.3,45,1_3_proximates__factrans__total_trans_fatty_acids_per_100g_fatty_acids
39,1_3_proximates__fodtrans,FODTRANS,Total Trans fatty acids per 100g food,Trans FAs /100g food (g),g,per_100g_food,1.3 Proximates,1.3,46,1_3_proximates__fodtrans__total_trans_fatty_acids_per_100g_food
40,1_3_proximates__chol,CHOL,Cholesterol,Cholesterol (mg),mg,per_100g_food,1.3 Proximates,1.3,47,1_3_proximates__chol__cholesterol
41,1_4_inorganics__na,NA,Sodium,Sodium (mg),mg,per_100g_food,1.4 Inorganics,1.4,8,1_4_inorganics__na__sodium
42,1_4_inorganics__k,K,Potassium,Potassium (mg),mg,per_100g_food,1.4 Inorganics,1.4,9,1_4_inorganics__k__potassium
43,1_4_inorganics__ca,CA,Calcium,Calcium (mg),mg,per_100g_food,1.4 Inorganics,1.4,10,1_4_inorganics__ca__calcium
44,1_4_inorganics__mg,MG,Magnesium,Magnesium (mg),mg,per_100g_food,1.4 Inorganics,1.4,11,1_4_inorganics__mg__magnesium
45,1_4_inorganics__p,P,Phosphorus,Phosphorus (mg),mg,per_100g_food,1.4 Inorganics,1.4,12,1_4_inorganics__p__phosphorus
46,1_4_inorganics__fe,FE,Iron,Iron (mg),mg,per_100g_food,1.4 Inorganics,1.4,13,1_4_inorganics__fe__iron
47,1_4_inorganics__cu,CU,Copper,Copper (mg),mg,per_100g_food,1.4 Inorganics,1.4,14,1_4_inorganics__cu__copper
48,1_4_inorganics__zn,ZN,Zinc,Zinc (mg),mg,per_100g_food,1.4 Inorganics,1.4,15,1_4_inorganics__zn__zinc
49,1_4_inorganics__cl,CL,Chloride,Chloride (mg),mg,per_100g_food,1.4 Inorganics,1.4,16,1_4_inorganics__cl__chloride
50,1_4_inorganics__mn,MN,Manganese,Manganese (mg),mg,per_100g_food,1.4 Inorganics,1.4,17,1_4_inorganics__mn__manganese
51,1_4_inorganics__se,SE,Selenium,Selenium (µg),µg,per_100g_food,1.4 Inorganics,1.4,18,1_4_inorganics__se__selenium
52,1_4_inorganics__i,I,Iodine,Iodine (µg),µg,per_100g_food,1.4 Inorganics,1.4,19,1_4_inorganics__i__iodine
53,1_5_vitamins__ret,RET,Retinol,Retinol (µg),µg,per_100g_food,1.5 Vitamins,1.5,8,1_5_vitamins__ret__retinol
54,1_5_vitamins__carequ,CAREQU,Carotene,Carotene (µg),µg,per_100g_food,1.5 Vitamins,1.5,9,1_5_vitamins__carequ__carotene
55,1_5_vitamins__retequ,RETEQU,Total retinol equivalent,Retinol Equivalent (µg),µg,per_100g_food,1.5 Vitamins,1.5,10,1_5_vitamins__retequ__total_retinol_equivalent
56,1_5_vitamins__vitd,VITD,Total Vitamin D,Vitamin D (µg),µg,per_100g_food,1.5 Vitamins,1.5,11,1_5_vitamins__vitd__total_vitamin_d
57,1_5_vitamins__vite,VITE,Total Vitamin E,Vitamin E (mg),mg,per_100g_food,1.5 Vitamins,1.5,12,1_5_vitamins__vite__total_vitamin_e
58,1_5_vitamins__vitk1,VITK1,Phylloquinone,Vitamin K1 (µg),µg,per_100g_food,1.5 Vitamins,1.5,13,1_5_vitamins__vitk1__phylloquinone
59,1_5_vitamins__thia,THIA,Thiamin,Thiamin (mg),mg,per_100g_food,1.5 Vitamins,1.5,14,1_5_vitamins__thia__thiamin
60,1_5_vitamins__ribo,RIBO,Riboflavin,Riboflavin (mg),mg,per_100g_food,1.5 Vitamins,1.5,15,1_5_vitamins__ribo__riboflavin
61,1_5_vitamins__niac,NIAC,Niacin,Niacin (mg),mg,per_100g_food,1.5 Vitamins,1.5,16,1_5_vitamins__niac__niacin
62,1_5_vitamins__tryp60,TRYP60,Tryptophan divided by 60,Tryptophan/60 (mg),mg,per_100g_food,1.5 Vitamins,1.5,17,1_5_vitamins__tryp60__tryptophan_divided_by_60
63,1_5_vitamins__niacequ,NIACEQU,Niacin equivalent,Niacin equivalent (mg),mg,per_100g_food,1.5 Vitamins,1.5,18,1_5_vitamins__niacequ__niacin_equivalent
64,1_5_vitamins__vitb6,VITB6,Vitamin B6,Vitamin B6 (mg),mg,per_100g_food,1.5 Vitamins,1.5,19,1_5_vitamins__vitb6__vitamin_b6
65,1_5_vitamins__vitb12,VITB12,Vitamin B12,Vitamin B12 (µg),µg,per_100g_food,1.5 Vitamins,1.5,20,1_5_vitamins__vitb12__vitamin_b12
66,1_5_vitamins__folt,FOLT,Folate,Folate (µg),µg,per_100g_food,1.5 Vitamins,1.5,21,1_5_vitamins__folt__folate
67,1_5_vitamins__panto,PANTO,Pantothenate,Pantothenate (mg),mg,per_100g_food,1.5 Vitamins,1.5,22,1_5_vitamins__panto__pantothenate
68,1_5_vitamins__biot,BIOT,Biotin,Biotin (µg),µg,per_100g_food,1.5 Vitamins,1.5,23,1_5_vitamins__biot__biotin
69,1_5_vitamins__vitc,VITC,Vitamin C,Vitamin C (mg),mg,per_100g_food,1.5 Vitamins,1.5,24,1_5_vitamins__vitc__vitamin_c
70,1_6_vitamin_fractions__altret,ALTRET,All-trans-retinol,All-trans-retinol (µg),µg,per_100g_food,1.6 Vitamin Fractions,1.6,8,1_6_vitamin_fractions__altret__all_trans_retinol
71,1_6_vitamin_fractions__13cisret,13CISRET,13-cis-retinol,13-cis-retinol (µg),µg,per_100g_food,1.6 Vitamin Fractions,1.6,9,1_6_vitamin_fractions__13cisret__13_cis_retinol
72,1_6_vitamin_fractions__dehyret,DEHYRET,Dehydroretinol,Dehydroretinol (µg),µg,per_100g_food,1.6 Vitamin Fractions,1.6,10,1_6_vitamin_fractions__dehyret__dehydroretinol
