food_id,nutrient_id,raw_value,numeric_value,value_qualifier,is_trace
13-145,1,76.7,76.7,measured_or_calculated,0
13-146,1,9.7,9.7,measured_or_calculated,0
13-147,1,84.2,84.2,measured_or_calculated,0
13-148,1,93.4,93.4,measured_or_calculated,0
13-801,1,8.5,8.5,measured_or_calculated,0
14-870,1,4.2,4.2,measured_or_calculated,0
14-897,1,2.4,2.4,measured_or_calculated,0
14-898,1,1.6,1.6,measured_or_calculated,0
14-896,1,4.4,4.4,measured_or_calculated,0
13-150,1,90.4,90.4,measured_or_calculated,0
13-149,1,88.9,88.9,measured_or_calculated,0
14-001,1,81.8,81.8,measured_or_calculated,0
16-448,1,46.4,46.4,measured_or_calculated,0
13-802,1,9.5,9.5,measured_or_calculated,0
14-272,1,31.4,31.4,measured_or_calculated,0
14-331,1,86.6,86.6,measured_or_calculated,0
17-851,1,77.5,77.5,measured_or_calculated,0
14-344,1,79.9,79.9,measured_or_calculated,0
14-345,1,67.1,67.1,measured_or_calculated,0
14-342,1,85.0,85.0,measured_or_calculated,0
14-343,1,71.4,71.4,measured_or_calculated,0
14-362,1,87.7,87.7,measured_or_calculated,0
14-363,1,64.0,64.0,measured_or_calculated,0
14-332,1,77.5,77.5,measured_or_calculated,0
14-320,1,87.3,87.3,measured_or_calculated,0
14-016,1,21.6,21.6,measured_or_calculated,0
14-319,1,86.2,86.2,measured_or_calculated,0
14-346,1,75.0,75.0,measured_or_calculated,0
14-031,1,14.7,14.7,measured_or_calculated,0
14-032,1,61.8,61.8,measured_or_calculated,0
14-033,1,65.0,65.0,measured_or_calculated,0
14-025,1,87.2,87.2,measured_or_calculated,0
14-026,1,80.2,80.2,measured_or_calculated,0
14-392,1,39.6,39.6,measured_or_calculated,0
14-027,1,76.9,76.9,measured_or_calculated,0
14-028,1,71.7,71.7,measured_or_calculated,0
14-029,1,88.3,88.3,measured_or_calculated,0
14-030,1,82.1,82.1,measured_or_calculated,0
13-152,1,75.5,75.5,measured_or_calculated,0
13-151,1,70.6,70.6,measured_or_calculated,0
11-001,1,12.2,12.2,measured_or_calculated,0
13-155,1,84.4,84.4,measured_or_calculated,0
13-154,1,36.3,36.3,measured_or_calculated,0
13-153,1,85.2,85.2,measured_or_calculated,0
13-156,1,80.2,80.2,measured_or_calculated,0
13-803,1,16.0,16.0,measured_or_calculated,0
13-639,1,90.9,90.9,measured_or_calculated,0
13-157,1,91.4,91.4,measured_or_calculated,0
13-640,1,89.8,89.8,measured_or_calculated,0
13-638,1,92.4,92.4,measured_or_calculated,0
13-651,1,95.2,95.2,measured_or_calculated,0
13-669,1,83.9,83.9,measured_or_calculated,0
13-412,1,59.5,59.5,measured_or_calculated,0
13-162,1,59.5,59.5,measured_or_calculated,0
13-577,1,59.5,59.5,measured_or_calculated,0
13-161,1,92.9,92.9,measured_or_calculated,0
15-001,1,85.5,85.5,measured_or_calculated,0
15-662,1,77.3,77.3,measured_or_calculated,0
15-663,1,75.3,75.3,measured_or_calculated,0
14-039,1,73.1,73.1,measured_or_calculated,0
14-040,1,51.9,51.9,measured_or_calculated,0
14-386,1,71.5,71.5,measured_or_calculated,0
14-387,1,49.3,49.3,measured_or_calculated,0
16-001,1,78.1,78.1,measured_or_calculated,0
14-043,1,93.9,93.9,measured_or_calculated,0
16-169,1,68.8,68.8,measured_or_calculated,0
19-644,1,60.6,60.6,measured_or_calculated,0
19-645,1,50.7,50.7,measured_or_calculated,0
19-498,1,49.7,49.7,measured_or_calculated,0
19-499,1,56.2,56.2,measured_or_calculated,0
19-646,1,69.5,69.5,measured_or_calculated,0
19-500,1,50.4,50.4,measured_or_calculated,0
19-501,1,37.8,37.8,measured_or_calculated,0
19-502,1,45.5,45.5,measured_or_calculated,0
19-497,1,63.9,63.9,measured_or_calculated,0
19-009,1,51.6,51.6,measured_or_calculated,0
19-659,1,50.5,50.5,measured_or_calculated,0
19-647,1,52.8,52.8,measured_or_calculated,0
19-660,1,55.4,55.4,measured_or_calculated,0
19-648,1,43.6,43.6,measured_or_calculated,0
19-503,1,47.8,47.8,measured_or_calculated,0
19-649,1,59.9,59.9,measured_or_calculated,0
19-504,1,45.1,45.1,measured_or_calculated,0
19-018,1,44.0,44.0,measured_or_calculated,0
19-016,1,57.3,57.3,measured_or_calculated,0
19-537,1,13.8,13.8,measured_or_calculated,0
19-650,1,12.8,12.8,measured_or_calculated,0
11-970,1,32.1,32.1,measured_or_calculated,0
13-578,1,71.8,71.8,measured_or_calculated,0
13-532,1,72.8,72.8,measured_or_calculated,0
13-535,1,72.8,72.8,measured_or_calculated,0
13-579,1,72.5,72.5,measured_or_calculated,0
12-500,1,22.2,22.2,measured_or_calculated,0
17-355,1,6.3,6.3,measured_or_calculated,0
11-1029,1,27.4,27.4,measured_or_calculated,0
12-556,1,63.7,63.7,measured_or_calculated,0
14-318,1,75.0,75.0,measured_or_calculated,0
14-347,1,47.3,47.3,measured_or_calculated,0
11-1030,1,25.9,25.9,measured_or_calculated,0
11-951,1,25.7,25.7,measured_or_calculated,0
17-705,1,61.6,61.6,measured_or_calculated,0
17-769,1,48.3,48.3,measured_or_calculated,0
14-804,1,5.7,5.7,measured_or_calculated,0
14-805,1,3.5,3.5,measured_or_calculated,0
17-844,1,95.0,95.0,measured_or_calculated,0
17-743,1,75.2,75.2,measured_or_calculated,0
11-003,1,69.6,69.6,measured_or_calculated,0
11-002,1,10.6,10.6,measured_or_calculated,0
13-805,1,6.4,6.4,measured_or_calculated,0
13-804,1,88.0,88.0,measured_or_calculated,0
16-386,1,69.0,69.0,measured_or_calculated,0
16-463,1,61.4,61.4,measured_or_calculated,0
16-385,1,69.4,69.4,measured_or_calculated,0
16-464,1,59.7,59.7,measured_or_calculated,0
13-806,1,5.4,5.4,measured_or_calculated,0
15-664,1,64.7,64.7,measured_or_calculated,0
15-665,1,54.1,54.1,measured_or_calculated,0
15-666,1,58.9,58.9,measured_or_calculated,0
15-667,1,56.9,56.9,measured_or_calculated,0
15-668,1,57.5,57.5,measured_or_calculated,0
13-042,1,59.4,59.4,measured_or_calculated,0
13-041,1,12.7,12.7,measured_or_calculated,0
13-049,1,88.4,88.4,measured_or_calculated,0
13-063,1,66.2,66.2,measured_or_calculated,0
13-062,1,10.7,10.7,measured_or_calculated,0
13-067,1,11.0,11.0,measured_or_calculated,0
13-648,1,70.2,70.2,measured_or_calculated,0
13-064,1,80.3,80.3,measured_or_calculated,0
13-559,1,74.0,74.0,measured_or_calculated,0
13-663,1,64.9,64.9,measured_or_calculated,0
13-070,1,11.6,11.6,measured_or_calculated,0
13-666,1,70,70.0,measured_or_calculated,0
13-670,1,62.3,62.3,measured_or_calculated,0
13-077,1,67.3,67.3,measured_or_calculated,0
13-076,1,12.2,12.2,measured_or_calculated,0
13-662,1,62.3,62.3,measured_or_calculated,0
13-074,1,10.0,10.0,measured_or_calculated,0
13-080,1,87.0,87.0,measured_or_calculated,0
13-667,1,68.3,68.3,measured_or_calculated,0
13-515,1,89.6,89.6,measured_or_calculated,0
13-514,1,91.3,91.3,measured_or_calculated,0
13-665,1,69.5,69.5,measured_or_calculated,0
13-087,1,69.6,69.6,measured_or_calculated,0
13-086,1,11.3,11.3,measured_or_calculated,0
13-099,1,70.8,70.8,measured_or_calculated,0
13-098,1,11.0,11.0,measured_or_calculated,0
13-664,1,69.3,69.3,measured_or_calculated,0
13-096,1,11.0,11.0,measured_or_calculated,0
13-100,1,82.6,82.6,measured_or_calculated,0
13-105,1,66.8,66.8,measured_or_calculated,0
13-104,1,10.0,10.0,measured_or_calculated,0
13-103,1,66.7,66.7,measured_or_calculated,0
13-102,1,10.0,10.0,measured_or_calculated,0
13-107,1,62.5,62.5,measured_or_calculated,0
13-106,1,10.6,10.6,measured_or_calculated,0
13-108,1,72.3,72.3,measured_or_calculated,0
13-660,1,66.5,66.5,measured_or_calculated,0
13-659,1,66.5,66.5,measured_or_calculated,0
13-109,1,11.2,11.2,measured_or_calculated,0
13-654,1,94.2,94.2,measured_or_calculated,0
13-112,1,91.2,91.2,measured_or_calculated,0
13-116,1,64.3,64.3,measured_or_calculated,0
13-115,1,8.5,8.5,measured_or_calculated,0
13-117,1,87.9,87.9,measured_or_calculated,0
13-580,1,91.6,91.6,measured_or_calculated,0
13-426,1,90.4,90.4,measured_or_calculated,0
13-567,1,88.4,88.4,measured_or_calculated,0
