Exercise ID,Exercise Name,Main Category,Body Region,Movement Pattern,Primary Muscle,Secondary Muscles,Equipment,Setup / Angle,Grip / Stance,Laterality,Difficulty,Load Type,Track By,Primary Use,Progression Family,App Tags,Notes
EX-0001,Barbell Bench Press,Strength,Upper Push,Horizontal Push,Chest,Triceps; Front Delts,Barbell,Flat,Standard,Bilateral,Intermediate,External Load,Sets x Reps x Load,Strength / Hypertrophy,Bench Press,chest;press;barbell,
EX-0002,Paused Barbell Bench Press,Strength,Upper Push,Horizontal Push,Chest,Triceps; Front Delts,Barbell,Flat,Standard,Bilateral,Intermediate,External Load,Sets x Reps x Load,Strength / Hypertrophy,Bench Press,chest;press;barbell,
EX-0003,Tempo Barbell Bench Press,Strength,Upper Push,Horizontal Push,Chest,Triceps; Front Delts,Barbell,Flat,Standard,Bilateral,Intermediate,External Load,Sets x Reps x Load,Strength / Hypertrophy,Bench Press,chest;press;barbell,
EX-0004,Close-Grip Bench Press,Strength,Upper Push,Horizontal Push,Chest,Triceps; Front Delts,Barbell,Flat,Close grip,Bilateral,Intermediate,External Load,Sets x Reps x Load,Strength / Hypertrophy,Bench Press,chest;press;barbell,
EX-0005,Wide-Grip Bench Press,Strength,Upper Push,Horizontal Push,Chest,Triceps; Front Delts,Barbell,Flat,Wide grip,Bilateral,Intermediate,External Load,Sets x Reps x Load,Strength / Hypertrophy,Bench Press,chest;press;barbell,
EX-0006,Incline Barbell Bench Press,Strength,Upper Push,Horizontal Push,Chest,Triceps; Front Delts,Barbell,Incline,Standard,Bilateral,Intermediate,External Load,Sets x Reps x Load,Strength / Hypertrophy,Bench Press,chest;press;barbell,
EX-0007,Decline Barbell Bench Press,Strength,Upper Push,Horizontal Push,Chest,Triceps; Front Delts,Barbell,Decline,Standard,Bilateral,Intermediate,External Load,Sets x Reps x Load,Strength / Hypertrophy,Bench Press,chest;press;barbell,
EX-0008,Spoto Press,Strength,Upper Push,Horizontal Push,Chest,Triceps; Front Delts,Barbell,Flat,Standard,Bilateral,Advanced,External Load,Sets x Reps x Load,Strength / Hypertrophy,Bench Press,chest;press;barbell,
EX-0009,Larsen Press,Strength,Upper Push,Horizontal Push,Chest,Triceps; Front Delts,Barbell,Flat,Standard,Bilateral,Advanced,External Load,Sets x Reps x Load,Strength / Hypertrophy,Bench Press,chest;press;barbell,
EX-0010,Barbell Floor Press,Strength,Upper Push,Horizontal Push,Chest,Triceps; Front Delts,Barbell,Floor,Standard,Bilateral,Intermediate,External Load,Sets x Reps x Load,Strength / Hypertrophy,Bench Press,chest;press;barbell,
EX-0011,Board Press,Strength,Upper Push,Horizontal Push,Chest,Triceps; Front Delts,Barbell,Flat,Standard,Bilateral,Advanced,External Load,Sets x Reps x Load,Strength / Hypertrophy,Bench Press,chest;press;barbell,
EX-0012,Pin Press Bench Press,Strength,Upper Push,Horizontal Push,Chest,Triceps; Front Delts,Barbell,Flat / Rack,Standard,Bilateral,Advanced,External Load,Sets x Reps x Load,Strength / Hypertrophy,Bench Press,chest;press;barbell,
EX-0013,Guillotine Press,Strength,Upper Push,Horizontal Push,Chest,Triceps; Front Delts,Barbell,Flat,Wide grip,Bilateral,Advanced,External Load,Sets x Reps x Load,Strength / Hypertrophy,Bench Press,chest;press;barbell,
EX-0014,Dumbbell Bench Press,Strength,Upper Push,Horizontal Push,Chest,Triceps; Front Delts,Dumbbells,Flat,Standard,Bilateral,Beginner,External Load,Sets x Reps x Load,Hypertrophy / Strength,Dumbbell Press / Fly,chest;dumbbell,
EX-0015,Incline Dumbbell Bench Press,Strength,Upper Push,Horizontal Push,Chest,Triceps; Front Delts,Dumbbells,Incline,Standard,Bilateral,Beginner,External Load,Sets x Reps x Load,Hypertrophy / Strength,Dumbbell Press / Fly,chest;dumbbell,
EX-0016,Decline Dumbbell Bench Press,Strength,Upper Push,Horizontal Push,Chest,Triceps; Front Delts,Dumbbells,Decline,Standard,Bilateral,Beginner,External Load,Sets x Reps x Load,Hypertrophy / Strength,Dumbbell Press / Fly,chest;dumbbell,
EX-0017,Neutral-Grip Dumbbell Bench Press,Strength,Upper Push,Horizontal Push,Chest,Triceps; Front Delts,Dumbbells,Flat,Neutral grip,Bilateral,Beginner,External Load,Sets x Reps x Load,Hypertrophy / Strength,Dumbbell Press / Fly,chest;dumbbell,
EX-0018,Alternating Dumbbell Bench Press,Strength,Upper Push,Horizontal Push,Chest,Triceps; Front Delts,Dumbbells,Flat,Alternating,Unilateral-capable,Beginner,External Load,Sets x Reps x Load,Hypertrophy / Strength,Dumbbell Press / Fly,chest;dumbbell,
EX-0019,Single-Arm Dumbbell Bench Press,Strength,Upper Push,Horizontal Push,Chest,Triceps; Front Delts,Dumbbells,Flat,Single-arm,Unilateral-capable,Beginner,External Load,Sets x Reps x Load,Hypertrophy / Strength,Dumbbell Press / Fly,chest;dumbbell,
EX-0020,Dumbbell Floor Press,Strength,Upper Push,Horizontal Push,Chest,Triceps; Front Delts,Dumbbells,Floor,Neutral/standard,Bilateral,Intermediate,External Load,Sets x Reps x Load,Hypertrophy / Strength,Dumbbell Press / Fly,chest;dumbbell,
EX-0021,Dumbbell Squeeze Press,Strength,Upper Push,Horizontal Push,Chest,Triceps; Front Delts,Dumbbells,Flat,Neutral crush grip,Bilateral,Intermediate,External Load,Sets x Reps x Load,Hypertrophy / Strength,Dumbbell Press / Fly,chest;dumbbell,
EX-0022,Dumbbell Fly,Strength,Upper Push,Chest Isolation,Chest,Triceps; Front Delts,Dumbbells,Flat,Neutral,Bilateral,Intermediate,External Load,Sets x Reps x Load,Hypertrophy / Strength,Dumbbell Press / Fly,chest;dumbbell,
EX-0023,Incline Dumbbell Fly,Strength,Upper Push,Chest Isolation,Chest,Triceps; Front Delts,Dumbbells,Incline,Neutral,Bilateral,Intermediate,External Load,Sets x Reps x Load,Hypertrophy / Strength,Dumbbell Press / Fly,chest;dumbbell,
EX-0024,Decline Dumbbell Fly,Strength,Upper Push,Chest Isolation,Chest,Triceps; Front Delts,Dumbbells,Decline,Neutral,Bilateral,Intermediate,External Load,Sets x Reps x Load,Hypertrophy / Strength,Dumbbell Press / Fly,chest;dumbbell,
EX-0025,Dumbbell Pullover,Strength,Upper Push,Pullover,Lats / Chest,Triceps; Front Delts,Dumbbell,Bench,Neutral,Bilateral,Intermediate,External Load,Sets x Reps x Load,Hypertrophy / Strength,Dumbbell Press / Fly,chest;dumbbell,
EX-0026,Dumbbell Around-the-World,Strength,Upper Push,Chest Isolation,Chest,Triceps; Front Delts,Dumbbells,Flat,Wide arc,Bilateral,Intermediate,External Load,Sets x Reps x Load,Hypertrophy / Strength,Dumbbell Press / Fly,chest;dumbbell,
EX-0027,Hex Press,Strength,Upper Push,Horizontal Push,Chest,Triceps; Front Delts,Dumbbells,Flat,Neutral crush grip,Bilateral,Intermediate,External Load,Sets x Reps x Load,Hypertrophy / Strength,Dumbbell Press / Fly,chest;dumbbell,
EX-0028,Machine Chest Press,Strength,Upper Push,Horizontal Push,Chest,Triceps; Front Delts,Machine,Seated,Neutral/standard,Bilateral,Beginner,Machine / External Load,Sets x Reps x Load,Hypertrophy / Strength,Machine Chest,chest;machine,
EX-0029,Plate-Loaded Chest Press,Strength,Upper Push,Horizontal Push,Chest,Triceps; Front Delts,Plate-loaded machine,Seated,Neutral/standard,Bilateral,Beginner,Machine / External Load,Sets x Reps x Load,Hypertrophy / Strength,Machine Chest,chest;machine,
EX-0030,Incline Machine Chest Press,Strength,Upper Push,Horizontal Push,Chest,Triceps; Front Delts,Machine,Incline,Neutral/standard,Bilateral,Beginner,Machine / External Load,Sets x Reps x Load,Hypertrophy / Strength,Machine Chest,chest;machine,
EX-0031,Decline Machine Chest Press,Strength,Upper Push,Horizontal Push,Chest,Triceps; Front Delts,Machine,Decline,Neutral/standard,Bilateral,Beginner,Machine / External Load,Sets x Reps x Load,Hypertrophy / Strength,Machine Chest,chest;machine,
EX-0032,Smith Machine Bench Press,Strength,Upper Push,Horizontal Push,Chest,Triceps; Front Delts,Smith machine,Flat,Standard,Bilateral,Beginner,Machine / External Load,Sets x Reps x Load,Hypertrophy / Strength,Machine Chest,chest;machine,
EX-0033,Smith Machine Incline Bench Press,Strength,Upper Push,Horizontal Push,Chest,Triceps; Front Delts,Smith machine,Incline,Standard,Bilateral,Beginner,Machine / External Load,Sets x Reps x Load,Hypertrophy / Strength,Machine Chest,chest;machine,
EX-0034,Smith Machine Decline Bench Press,Strength,Upper Push,Horizontal Push,Chest,Triceps; Front Delts,Smith machine,Decline,Standard,Bilateral,Beginner,Machine / External Load,Sets x Reps x Load,Hypertrophy / Strength,Machine Chest,chest;machine,
EX-0035,Pec Deck Fly,Strength,Upper Push,Chest Isolation,Chest,Triceps; Front Delts,Machine,Seated,Bent-arm,Bilateral,Beginner,Machine / External Load,Sets x Reps x Load,Hypertrophy / Strength,Machine Chest,chest;machine,
EX-0036,Machine Chest Fly,Strength,Upper Push,Chest Isolation,Chest,Triceps; Front Delts,Machine,Seated,Straight/bent arm,Bilateral,Beginner,Machine / External Load,Sets x Reps x Load,Hypertrophy / Strength,Machine Chest,chest;machine,
EX-0037,Standing Machine Fly,Strength,Upper Push,Chest Isolation,Chest,Triceps; Front Delts,Machine,Standing,Handles,Bilateral,Beginner,Machine / External Load,Sets x Reps x Load,Hypertrophy / Strength,Machine Chest,chest;machine,
